collisions,steps,timestamp
8.0,893.0,1551182979.998709
4.0,894.0,1551182980.011483
7.0,895.0,1551182980.0267782
6.0,896.0,1551182980.040798
6.0,897.0,1551182980.047619
6.0,898.0,1551182980.0641
6.0,899.0,1551182980.0766451
5.0,900.0,1551182980.08994
6.0,901.0,1551182980.109004
6.0,902.0,1551182980.122535
5.0,903.0,1551182980.1292338
7.0,904.0,1551182980.146316
5.0,905.0,1551182980.1633248
8.0,906.0,1551182980.1795268
8.0,907.0,1551182980.1940758
7.0,908.0,1551182980.207336
13.0,909.0,1551182980.223567
15.0,910.0,1551182980.240869
11.0,911.0,1551182980.2470138
10.0,912.0,1551182980.262926
12.0,913.0,1551182980.278152
13.0,914.0,1551182980.2948391
14.0,915.0,1551182980.307729
11.0,916.0,1551182980.321943
11.0,917.0,1551182980.330729
10.0,918.0,1551182980.345696
10.0,919.0,1551182980.3610098
10.0,920.0,1551182980.3774369
11.0,921.0,1551182980.3928168
10.0,922.0,1551182980.405403
11.0,923.0,1551182980.412655
11.0,924.0,1551182980.426775
13.0,925.0,1551182980.4408588
12.0,926.0,1551182980.447351
11.0,927.0,1551182980.460874
13.0,928.0,1551182980.4737768
14.0,929.0,1551182980.48224
10.0,930.0,1551182980.497408
16.0,931.0,1551182980.513773
15.0,932.0,1551182980.526465
13.0,933.0,1551182980.53926
7.0,934.0,1551182980.5478
7.0,935.0,1551182980.5652218
7.0,936.0,1551182980.579577
8.0,937.0,1551182980.5953841
7.0,938.0,1551182980.607935
3.0,939.0,1551182980.614132
10.0,940.0,1551182980.632659
10.0,941.0,1551182980.645968
11.0,942.0,1551182980.6590679
8.0,943.0,1551182980.673747
8.0,944.0,1551182980.68062
9.0,945.0,1551182980.693464
7.0,946.0,1551182980.706204
5.0,947.0,1551182980.7123048
4.0,948.0,1551182980.73144
7.0,949.0,1551182980.746488
9.0,950.0,1551182980.763722
6.0,951.0,1551182980.776555
8.0,952.0,1551182980.7895591
6.0,953.0,1551182980.8067021
8.0,954.0,1551182980.823589
7.0,955.0,1551182980.830967
8.0,956.0,1551182980.846136
8.0,957.0,1551182980.859931
7.0,958.0,1551182980.875656
9.0,959.0,1551182980.891813
6.0,960.0,1551182980.905538
6.0,961.0,1551182980.91203
8.0,962.0,1551182980.932323
